'EPIC GC IG.PG.MV Log File

'Date,GC IG.PG.MV
08/06/2023 14:58:17.041,5.12E-06
08/06/2023 14:58:18.062,5.12E-06
08/06/2023 14:58:20.065,5.12E-06
08/06/2023 14:58:21.075,5.37E-06
08/06/2023 14:58:22.082,5.12E-06
08/06/2023 14:58:23.100,5.24E-06
08/06/2023 14:58:24.113,5.37E-06
08/06/2023 14:58:25.123,5.50E-06
08/06/2023 14:58:26.125,5.37E-06
08/06/2023 14:58:28.135,5.37E-06
08/06/2023 14:58:29.136,5.50E-06
08/06/2023 14:58:31.150,5.50E-06
08/06/2023 14:58:32.177,5.50E-06
08/06/2023 14:58:33.191,5.64E-06
08/06/2023 14:58:34.201,5.64E-06
08/06/2023 14:58:35.210,5.64E-06
08/06/2023 14:58:36.218,5.64E-06
08/06/2023 14:58:37.230,5.64E-06
08/06/2023 14:58:38.241,5.78E-06
08/06/2023 14:58:39.252,5.78E-06
08/06/2023 14:58:40.263,5.78E-06
08/06/2023 14:58:41.267,5.78E-06
08/06/2023 14:58:42.281,5.78E-06
08/06/2023 14:58:44.290,5.92E-06
08/06/2023 14:58:45.293,5.78E-06
08/06/2023 14:58:47.298,5.78E-06
08/06/2023 14:58:48.307,5.78E-06
08/06/2023 14:58:49.323,5.78E-06
08/06/2023 14:58:50.338,5.78E-06
08/06/2023 14:58:51.343,5.78E-06
08/06/2023 14:58:52.344,5.92E-06
08/06/2023 14:58:54.346,5.92E-06
08/06/2023 14:58:56.362,5.92E-06
08/06/2023 14:58:57.373,6.06E-06
08/06/2023 14:58:58.384,5.92E-06
08/06/2023 14:59:00.384,5.92E-06
08/06/2023 14:59:01.386,5.92E-06
08/06/2023 14:59:03.389,5.92E-06
08/06/2023 14:59:04.400,6.06E-06
08/06/2023 14:59:05.410,5.78E-06
08/06/2023 14:59:06.424,5.92E-06
08/06/2023 14:59:07.440,5.92E-06
08/06/2023 14:59:08.453,5.92E-06
08/06/2023 14:59:09.465,5.92E-06
08/06/2023 14:59:10.468,5.92E-06
08/06/2023 14:59:11.483,5.92E-06
08/06/2023 14:59:12.487,5.92E-06
08/06/2023 14:59:14.492,5.78E-06
08/06/2023 14:59:15.507,5.92E-06
08/06/2023 14:59:17.508,5.92E-06
08/06/2023 14:59:18.512,5.92E-06
08/06/2023 14:59:19.536,5.78E-06
08/06/2023 14:59:20.545,5.92E-06
08/06/2023 14:59:21.557,5.92E-06
08/06/2023 14:59:22.574,5.78E-06
08/06/2023 14:59:23.595,5.78E-06
08/06/2023 14:59:24.607,6.06E-06
08/06/2023 14:59:25.622,5.92E-06
08/06/2023 14:59:26.640,5.92E-06
08/06/2023 14:59:27.654,5.92E-06
08/06/2023 14:59:28.671,5.92E-06
08/06/2023 14:59:29.674,5.78E-06
08/06/2023 14:59:30.686,5.92E-06
08/06/2023 14:59:31.696,6.06E-06
08/06/2023 14:59:33.702,5.92E-06
08/06/2023 14:59:34.708,5.78E-06
08/06/2023 14:59:35.717,6.06E-06
08/06/2023 14:59:36.736,5.92E-06
08/06/2023 14:59:37.754,5.92E-06
08/06/2023 14:59:38.779,5.92E-06
08/06/2023 14:59:39.799,6.06E-06
08/06/2023 14:59:40.803,5.92E-06
08/06/2023 14:59:41.813,5.92E-06
08/06/2023 14:59:42.833,6.06E-06
08/06/2023 14:59:43.838,6.06E-06
